Feature,Importance,model
feature_102,0.104177245448975,Video Injection_feature_importance_0.1_30
feature_78,0.0773337697490486,Video Injection_feature_importance_0.1_30
feature_10,0.0757734367880001,Video Injection_feature_importance_0.1_30
feature_13,0.0590298798188094,Video Injection_feature_importance_0.1_30
feature_29,0.0554321341991874,Video Injection_feature_importance_0.1_30
feature_59,0.0435947173089673,Video Injection_feature_importance_0.1_30
feature_80,0.0402438577486043,Video Injection_feature_importance_0.1_30
feature_30,0.0401612832296361,Video Injection_feature_importance_0.1_30
feature_60,0.0344214328564158,Video Injection_feature_importance_0.1_30
feature_109,0.0334838739620896,Video Injection_feature_importance_0.1_30
feature_28,0.029703681915103,Video Injection_feature_importance_0.1_30
feature_75,0.0262947634123664,Video Injection_feature_importance_0.1_30
feature_62,0.0252205866984198,Video Injection_feature_importance_0.1_30
feature_79,0.0239387088810306,Video Injection_feature_importance_0.1_30
feature_14,0.0237698376865622,Video Injection_feature_importance_0.1_30
feature_72,0.0213990507403031,Video Injection_feature_importance_0.1_30
feature_15,0.0213652835517114,Video Injection_feature_importance_0.1_30
feature_112,0.0209312659066726,Video Injection_feature_importance_0.1_30
feature_61,0.0198470329062845,Video Injection_feature_importance_0.1_30
feature_52,0.0190346676709887,Video Injection_feature_importance_0.1_30
feature_64,0.016855416364878,Video Injection_feature_importance_0.1_30
feature_104,0.0153535916361634,Video Injection_feature_importance_0.1_30
feature_65,0.0134927314075616,Video Injection_feature_importance_0.1_30
feature_7,0.0134341095746304,Video Injection_feature_importance_0.1_30
feature_25,0.0119886155713793,Video Injection_feature_importance_0.1_30
feature_110,0.0118122178677686,Video Injection_feature_importance_0.1_30
feature_63,0.010620405149536,Video Injection_feature_importance_0.1_30
feature_113,0.0095806000630755,Video Injection_feature_importance_0.1_30
feature_111,0.00956850026851,Video Injection_feature_importance_0.1_30
feature_95,0.0093835902902844,Video Injection_feature_importance_0.1_30
feature_45,0.0093105107330408,Video Injection_feature_importance_0.1_30
feature_19,0.0075057884759084,Video Injection_feature_importance_0.1_30
feature_55,0.0068720744751517,Video Injection_feature_importance_0.1_30
feature_12,0.0055220630874811,Video Injection_feature_importance_0.1_30
feature_88,0.0054933472296187,Video Injection_feature_importance_0.1_30
feature_54,0.0049784968193917,Video Injection_feature_importance_0.1_30
feature_106,0.0036029565962966,Video Injection_feature_importance_0.1_30
feature_22,0.0033700169660176,Video Injection_feature_importance_0.1_30
feature_38,0.0033078116814709,Video Injection_feature_importance_0.1_30
feature_31,0.00307917025805,Video Injection_feature_importance_0.1_30
feature_73,0.0024954329615194,Video Injection_feature_importance_0.1_30
feature_1,0.0021751770980335,Video Injection_feature_importance_0.1_30
feature_56,0.0019330559759343,Video Injection_feature_importance_0.1_30
feature_77,0.001726677527888,Video Injection_feature_importance_0.1_30
feature_57,0.0017172484560849,Video Injection_feature_importance_0.1_30
