Feature,Importance,model
feature_102,0.0794325036937731,Video Injection_feature_importance_1.0_100
feature_13,0.0526926148553566,Video Injection_feature_importance_1.0_100
feature_29,0.0491629404081077,Video Injection_feature_importance_1.0_100
feature_78,0.047988879644813,Video Injection_feature_importance_1.0_100
feature_59,0.0415741012880844,Video Injection_feature_importance_1.0_100
feature_80,0.0390819604585807,Video Injection_feature_importance_1.0_100
feature_14,0.0380759642713945,Video Injection_feature_importance_1.0_100
feature_10,0.034264052200782,Video Injection_feature_importance_1.0_100
feature_30,0.0327945133679673,Video Injection_feature_importance_1.0_100
feature_25,0.0322319629299318,Video Injection_feature_importance_1.0_100
feature_28,0.0319606449214341,Video Injection_feature_importance_1.0_100
feature_61,0.0312847148852011,Video Injection_feature_importance_1.0_100
feature_62,0.0295265434743546,Video Injection_feature_importance_1.0_100
feature_52,0.0262934110000047,Video Injection_feature_importance_1.0_100
feature_110,0.0261979312814017,Video Injection_feature_importance_1.0_100
feature_75,0.0252079691278322,Video Injection_feature_importance_1.0_100
feature_64,0.0251836004239535,Video Injection_feature_importance_1.0_100
feature_79,0.0247870056578812,Video Injection_feature_importance_1.0_100
feature_60,0.0229234566488446,Video Injection_feature_importance_1.0_100
feature_109,0.0227808589120092,Video Injection_feature_importance_1.0_100
feature_15,0.0227091085405612,Video Injection_feature_importance_1.0_100
feature_63,0.0221346986199766,Video Injection_feature_importance_1.0_100
feature_112,0.0208829043521305,Video Injection_feature_importance_1.0_100
feature_111,0.0187183631703124,Video Injection_feature_importance_1.0_100
feature_7,0.0179198200919645,Video Injection_feature_importance_1.0_100
feature_55,0.0172348103361973,Video Injection_feature_importance_1.0_100
feature_65,0.0151052990488291,Video Injection_feature_importance_1.0_100
feature_113,0.0129917010449868,Video Injection_feature_importance_1.0_100
feature_76,0.0098933064253447,Video Injection_feature_importance_1.0_100
feature_95,0.0098160177983636,Video Injection_feature_importance_1.0_100
feature_77,0.009468654725594,Video Injection_feature_importance_1.0_100
feature_22,0.0093872651480645,Video Injection_feature_importance_1.0_100
feature_38,0.0092634274979565,Video Injection_feature_importance_1.0_100
feature_54,0.0076660896278818,Video Injection_feature_importance_1.0_100
feature_72,0.0066945591473704,Video Injection_feature_importance_1.0_100
feature_69,0.0059190099100954,Video Injection_feature_importance_1.0_100
feature_88,0.0056908621764153,Video Injection_feature_importance_1.0_100
feature_45,0.0050923635631503,Video Injection_feature_importance_1.0_100
feature_31,0.0050639637598392,Video Injection_feature_importance_1.0_100
feature_19,0.0048363427811443,Video Injection_feature_importance_1.0_100
feature_4,0.0047659370758616,Video Injection_feature_importance_1.0_100
feature_106,0.0040630508644015,Video Injection_feature_importance_1.0_100
feature_104,0.0038681985627773,Video Injection_feature_importance_1.0_100
feature_56,0.0035874086252006,Video Injection_feature_importance_1.0_100
feature_12,0.0031698767886968,Video Injection_feature_importance_1.0_100
feature_27,0.0028342105688002,Video Injection_feature_importance_1.0_100
feature_57,0.0027587918976762,Video Injection_feature_importance_1.0_100
feature_53,0.0027520723931891,Video Injection_feature_importance_1.0_100
feature_81,0.002457645390266,Video Injection_feature_importance_1.0_100
feature_1,0.0019647081945607,Video Injection_feature_importance_1.0_100
feature_103,0.0016444497241072,Video Injection_feature_importance_1.0_100
feature_26,0.0016196012550084,Video Injection_feature_importance_1.0_100
feature_58,0.0015977214374006,Video Injection_feature_importance_1.0_100
feature_16,0.0013319407987493,Video Injection_feature_importance_1.0_100
feature_105,0.0013099896173519,Video Injection_feature_importance_1.0_100
feature_11,0.0012495319210934,Video Injection_feature_importance_1.0_100
feature_66,0.0010733339328845,Video Injection_feature_importance_1.0_100
feature_44,0.0006409192221345,Video Injection_feature_importance_1.0_100
feature_50,0.0005675982380154,Video Injection_feature_importance_1.0_100
feature_83,0.00043912638338,Video Injection_feature_importance_1.0_100
feature_47,0.000436093574963,Video Injection_feature_importance_1.0_100
feature_91,0.0003746109118862,Video Injection_feature_importance_1.0_100
feature_24,0.0003600660938937,Video Injection_feature_importance_1.0_100
feature_51,0.0003424882308598,Video Injection_feature_importance_1.0_100
feature_84,0.000332170631358,Video Injection_feature_importance_1.0_100
feature_97,0.000311117917634,Video Injection_feature_importance_1.0_100
feature_49,0.0003074172924225,Video Injection_feature_importance_1.0_100
feature_89,0.0002454860461291,Video Injection_feature_importance_1.0_100
feature_43,0.0002385500691538,Video Injection_feature_importance_1.0_100
feature_8,0.0002217081428805,Video Injection_feature_importance_1.0_100
feature_37,0.0002208429865799,Video Injection_feature_importance_1.0_100
feature_98,0.0002052140813395,Video Injection_feature_importance_1.0_100
feature_96,0.0001976209094966,Video Injection_feature_importance_1.0_100
feature_9,0.0001964854047212,Video Injection_feature_importance_1.0_100
feature_48,0.0001830598521085,Video Injection_feature_importance_1.0_100
feature_82,0.0001607783958876,Video Injection_feature_importance_1.0_100
feature_33,0.0001605720171707,Video Injection_feature_importance_1.0_100
feature_99,0.0001449812652528,Video Injection_feature_importance_1.0_100
feature_85,0.0001420856529779,Video Injection_feature_importance_1.0_100
feature_73,0.0001418442805731,Video Injection_feature_importance_1.0_100
feature_74,0.0001205075092321,Video Injection_feature_importance_1.0_100
feature_41,0.0001166714311529,Video Injection_feature_importance_1.0_100
feature_34,0.0001078329332392,Video Injection_feature_importance_1.0_100
feature_46,8.854690200407055e-05,Video Injection_feature_importance_1.0_100
feature_90,8.007419100820317e-05,Video Injection_feature_importance_1.0_100
feature_23,7.753315968833901e-05,Video Injection_feature_importance_1.0_100
feature_32,7.12608779764426e-05,Video Injection_feature_importance_1.0_100
feature_70,7.061003921675168e-05,Video Injection_feature_importance_1.0_100
feature_39,6.854037385936685e-05,Video Injection_feature_importance_1.0_100
feature_3,6.118071078279702e-05,Video Injection_feature_importance_1.0_100
feature_2,6.066527805710979e-05,Video Injection_feature_importance_1.0_100
feature_17,5.419274654619016e-05,Video Injection_feature_importance_1.0_100
feature_6,5.4127573358069e-05,Video Injection_feature_importance_1.0_100
feature_42,5.371552332394331e-05,Video Injection_feature_importance_1.0_100
