Attack,Fraction,Estimators,Accuracy,TP,TN,FP,FN,ROC AUC,Precision,Recall,F1-Score
Mirai Botnet,0.1,30,0.9998255179934569,19321,3600,1,3,0.9999997628823981,0.999825586118647,0.9998255179934569,0.9998255376987346
Mirai Botnet,0.1,50,0.9999127589967285,19322,3601,0,2,0.9999998562923624,0.9999128074235968,0.9999127589967285,0.9999127688493672
Mirai Botnet,0.1,100,0.9999127589967285,19322,3601,0,2,0.999999827550835,0.9999128074235968,0.9999127589967285,0.9999127688493672
Mirai Botnet,0.25,30,0.9999825513426742,48163,9147,0,1,1.0,0.9999825532500481,0.9999825513426742,0.9999825517289738
Mirai Botnet,0.25,50,1.0,48164,9147,0,0,1.0,1.0,1.0,1.0
Mirai Botnet,0.25,100,1.0,48164,9147,0,0,1.0,1.0,1.0,1.0
Mirai Botnet,0.5,30,0.999982551190445,96508,18111,2,0,0.9999999991419006,0.999982551552041,0.999982551190445,0.9999825507991529
Mirai Botnet,0.5,50,0.9999912755952225,96508,18112,1,0,0.999999999713967,0.9999912756856224,0.9999912755952225,0.999991275497403
Mirai Botnet,0.5,100,0.9999912755952225,96508,18112,1,0,1.0,0.9999912756856224,0.9999912755952225,0.999991275497403
Mirai Botnet,0.75,30,0.9999883674264676,144598,27331,1,1,0.9999999981023131,0.9999883674264676,0.9999883674264676,0.9999883674264676
Mirai Botnet,0.75,50,0.9999941837132338,144599,27331,1,0,0.999999998608363,0.999994183753457,0.9999941837132338,0.9999941836700883
Mirai Botnet,0.75,100,0.9999941837132338,144599,27331,1,0,0.9999999992409253,0.999994183753457,0.9999941837132338,0.9999941836700883
Mirai Botnet,1.0,30,0.9999956377976112,192836,36405,0,1,0.9999999999287774,0.9999956379174322,0.9999956377976112,0.9999956378219116
Mirai Botnet,1.0,50,1.0,192837,36405,0,0,1.0,1.0,1.0,1.0
Mirai Botnet,1.0,100,1.0,192837,36405,0,0,1.0,1.0,1.0,1.0
