Feature,Importance
feature_109,0.21770463972608434
feature_78,0.15261370002126404
feature_28,0.07074944963435058
feature_13,0.06820436976117636
feature_59,0.06712930183494803
feature_64,0.04815319227410457
feature_80,0.04482935875352231
feature_65,0.041754123204666344
feature_15,0.03899842486578027
feature_79,0.03312517125701681
feature_29,0.029431112704890596
feature_53,0.01730062800849667
feature_60,0.013767150954357942
feature_14,0.013606298031132615
feature_112,0.012435347448155965
feature_63,0.012134609629469884
feature_61,0.011226833675285071
feature_4,0.009943340703946871
feature_54,0.00906246459609856
feature_110,0.00832333970850394
feature_56,0.007593406314997646
feature_113,0.006154011202569473
feature_8,0.0055693913487675694
feature_52,0.005529878633455653
feature_62,0.005053840729083857
feature_102,0.004750513372251299
feature_30,0.004653117629764443
feature_57,0.0041289678368676905
feature_23,0.003901129239926763
feature_24,0.003674911887659507
feature_25,0.0032841211002543323
feature_77,0.002802453427550194
feature_75,0.001978070939200309
feature_26,0.0015890905073095581
feature_106,0.0014671120304957878
feature_20,0.00145880180383563
feature_16,0.001445747509012259
feature_76,0.001385410719604853
feature_39,0.0013277165359793887
feature_111,0.0011678247827313346
feature_45,0.0011378168367976208
feature_96,0.0009682576746290856
feature_90,0.0008879064657860945
feature_99,0.0008856452525932751
feature_12,0.0008294230665781969
feature_91,0.0007037373143805489
feature_55,0.000702948601333908
feature_97,0.0006269102929391816
feature_82,0.0005733695659801905
feature_58,0.000550670506062494
feature_11,0.0003494895600797648
feature_27,0.000345731537790793
feature_103,0.00023765096391326922
feature_10,0.0002278516282045393
feature_115,0.00015007728241659326
feature_7,0.00014463426543264173
feature_105,0.00013627773667424428
feature_51,0.00011460409490175102
feature_50,9.734998160243182e-05
feature_81,6.479456802118482e-05
feature_34,6.143605051470112e-05
feature_43,5.218434679748935e-05
feature_48,4.605497393416208e-05
feature_22,4.441699847669359e-05
feature_46,4.058479465562967e-05
feature_41,3.747880371160449e-05
feature_66,3.523542805746358e-05
feature_49,3.465545864276569e-05
feature_44,3.275215810437638e-05
feature_72,3.271506592223452e-05
feature_98,3.255334348088835e-05
feature_9,3.179812096369897e-05
feature_42,3.176506902787016e-05
feature_18,2.813791361602116e-05
feature_2,2.7130451693696456e-05
feature_37,2.5838434898921365e-05
feature_89,2.1442717800102728e-05
feature_5,2.026558934297792e-05
feature_31,2.0257217270964494e-05
feature_17,1.9137302122798394e-05
feature_47,1.907816248151303e-05
feature_32,1.580310193603586e-05
feature_92,1.4772420729797107e-05
feature_108,1.0843226458583823e-05
feature_95,9.643677915879298e-06
feature_88,9.469397597496961e-06
feature_19,9.468470672612216e-06
feature_21,9.253022104012849e-06
feature_33,8.865927406958446e-06
feature_36,7.5005656077646565e-06
feature_35,7.002729199079581e-06
feature_84,6.57293495169229e-06
feature_40,6.460655470218732e-06
feature_38,6.2594062040108156e-06
feature_69,5.834426379576124e-06
feature_3,5.73546315772888e-06
feature_85,5.311376168022426e-06
feature_104,5.015615174015277e-06
feature_83,3.631920867129606e-06
feature_6,3.38370569218486e-06
feature_1,2.965182312294456e-06
feature_68,2.3949048543342754e-06
feature_73,2.039006469809714e-06
feature_74,9.463792228520043e-07
feature_94,8.888644202966959e-07
feature_70,6.215493550572028e-07
feature_101,6.12026014673954e-07
feature_67,1.605557678145051e-07
feature_87,7.567265393987533e-08
feature_71,2.7873032567270747e-08
feature_93,0.0
feature_100,0.0
feature_86,0.0
feature_107,0.0
feature_114,0.0
