Feature,Importance
feature_115,0.0737073651659409
feature_61,0.05643602277059168
feature_111,0.05617973838030989
feature_62,0.050886654241993394
feature_113,0.04851282778307144
feature_65,0.04806407016541946
feature_63,0.04023836401256273
feature_55,0.03740140833540629
feature_112,0.03125857411030351
feature_108,0.02986828415689289
feature_15,0.029597381977974287
feature_30,0.02510704343506217
feature_60,0.024794396693387566
feature_29,0.024086877285830584
feature_14,0.023739895236427767
feature_105,0.023559480261018263
feature_110,0.023545162423817132
feature_106,0.021743942244476254
feature_104,0.021434932533024913
feature_56,0.02130166375732144
feature_58,0.02061220122635098
feature_27,0.01735908717793461
feature_34,0.017254395089621396
feature_12,0.017205156399382346
feature_41,0.016468255233803686
feature_79,0.015966050687844565
feature_91,0.014904549977064094
feature_84,0.013137272472532449
feature_54,0.012815829928055961
feature_48,0.01166488548464521
feature_80,0.011151272242771635
feature_78,0.008702769742372204
feature_98,0.008554290849209206
feature_76,0.006483859801093973
feature_53,0.006451427105007497
feature_26,0.006286203184196885
feature_103,0.005885706771449678
feature_77,0.005547719914040374
feature_11,0.005043263285455829
feature_73,0.004858694287833054
feature_28,0.003727344856349896
feature_96,0.0033044980982586225
feature_13,0.0032961021708262372
feature_23,0.0028442483657877358
feature_70,0.0027159155293896664
feature_47,0.0025366794539078757
feature_31,0.0024677339585663614
feature_52,0.0024093827270336623
feature_109,0.0023838133833289036
feature_9,0.0021866727798341605
feature_59,0.002154119017619471
feature_49,0.0019850624607835586
feature_24,0.0018503810396556972
feature_99,0.00174384984115253
feature_97,0.0017133203049066214
feature_25,0.0014488825207201452
feature_94,0.0014001591002266833
feature_8,0.0013426859341413339
feature_45,0.001305991688937464
feature_72,0.0012796790755828155
feature_66,0.0012573418086402777
feature_46,0.0011892409393350447
feature_38,0.0011770154099099085
feature_10,0.0009410199466279882
feature_101,0.0008808284819956226
feature_4,0.0008545423040226953
feature_42,0.0008536488164457698
feature_22,0.00077039560936744
feature_67,0.0007301112492032319
feature_21,0.0007290569519927643
feature_44,0.0006116188617683694
feature_51,0.0005563801886493459
feature_75,0.0005457985868770913
feature_87,0.0004850592650755383
feature_37,0.00042467207844900024
feature_102,0.00041390544169165255
feature_17,0.00037158713201509844
feature_40,0.00035194082148143677
feature_7,0.00032655267866061563
feature_18,0.00029601711367225795
feature_39,0.00029448010517590397
feature_35,0.0002892343222139035
feature_95,0.0002891333122874293
feature_90,0.0002807325328155969
feature_6,0.0002740501859742308
feature_2,0.00025533652340523576
feature_92,0.0002516703683300364
feature_20,0.00024560754567686405
feature_33,0.00019601545437783387
feature_5,0.00017361429070840846
feature_32,0.00017055680662767355
feature_88,0.00016398436275256938
feature_19,0.00016231812922768508
feature_83,0.00016129433183529254
feature_16,0.00014642479271744803
feature_69,0.00014599140837518026
feature_82,0.0001232299200584283
feature_3,0.00011754156326410707
feature_85,0.000112775115502323
feature_81,0.00010915750155770159
feature_1,0.00010887316210248774
feature_89,8.587783135890697e-05
feature_114,6.767903756824096e-05
feature_86,2.9788649618693748e-05
feature_107,2.057219140046323e-05
feature_93,1.6424585766173923e-05
feature_100,1.2564943525867525e-05
feature_57,1.0852194534148476e-05
feature_43,3.987006852423542e-06
feature_71,0.0
feature_36,0.0
feature_68,0.0
feature_50,0.0
feature_64,0.0
feature_74,0.0
